supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,OVT,Vantage Top,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,BHZQM,Barkers Corporate Highlander Merino – Mens,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,WEGMCD,Merino Cardigan - Womens,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Pullovers,BT,Ballistic Top,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Pullovers,OTNT,Transition Top,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Pullovers,TNT,Transition Top,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscellaneous Homeware,PODCS,Decadent Cocktail 10 pcs Set,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,PONS,Nature Secateurs,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors / Coolers,POPIB,Polar Ice 7.2L Bucket,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8290,Eco Shopping Kit,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8389,Expo Essentials Pack,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL4559,Montana RPET Felt Sunglass Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL517,Harvest Produce Bags in Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL545,Malibu Handy Utility  Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7029,Montana RPET Felt Utility Case,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7031,Montana RPET Felt Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7043,Wallaby Neck Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7053,Verona Essentials Bag,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL9631,Stow Organiser,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL2299,Cooler Brick,needs_review,,,,,no high-confidence keyword match,,,
