raw_brand_or_signal,normalized_brand,supplier_scope,alias_type,action,confidence,notes
Bic Promo,BIC,PromoBrands,brand_alias,normalize,0.9,"PromoBrands path appears as Bic Promo / Bic Pens. Confirm product-level brand before applying globally."
BIC,BIC,PromoBrands,brand_alias,normalize,0.95,"Canonical brand spelling."
Trekk,Trekk,NIConcept,brand_alias,keep,0.85,"Seen in NIConcept product examples. Confirm raw brand field if available."
Prixton,Prixton,NIConcept,brand_alias,keep,0.85,"Seen in NIConcept technology examples."
Seasons,Seasons,NIConcept,brand_alias,keep,0.8,"Seen in NIConcept drinkware/outdoor examples. Review because it may be a range."
Dri Gear,Dri Gear,Gear For Life,brand_alias,keep,0.85,"Seen in Gear For Life apparel examples."
Agri Station,Agri Station,Gear For Life,brand_alias,keep,0.8,"Seen in Gear For Life apparel examples."
Barkers,Barkers,Gear For Life,brand_alias,keep,0.8,"Seen in Gear For Life apparel examples."
Eco+ Collection,,PromoBrands,not_brand,tag_only,1.0,"Collection/eco signal, not a brand."
Legendary Range,,PromoBrands,not_brand,tag_only,1.0,"Collection signal, not a brand."
Offshore Express,,PromoBrands,not_brand,fulfillment_only,1.0,"Fulfillment/service signal, not a brand."
Sale,,PromoBrands,not_brand,tag_only,1.0,"Merchandising tag, not a brand."
Trending,,PromoBrands,not_brand,tag_only,1.0,"Merchandising tag, not a brand."
Indent,,Logoline,not_brand,fulfillment_only,1.0,"Fulfillment/service signal, not a brand."

