supplier,source_field,raw_category_1,raw_category_2,raw_category_3,raw_category_4,raw_category_path,sku_count,source_row_count,example_skus_products,raw_path_type_guess,target_category,target_subcategory,confidence,mapping_status,review_reason,suggested_tags,suggested_material,suggested_fulfillment,mapping_note
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Shirts,,,Clothing / Shirts,91,91,EOE: The End on End Shirt - Mens | ES: The Euro Corporate Stripe Shirt - Mens | TBC: The Broadway Check Shirt - Mens | TBT: The Bretton Shirt - Mens | TCDH: The Cedar Hill Check Shirt - Mens,product_category_candidate,Apparel,Shirts,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Polo Shirts,,,Clothing / Polo Shirts,74,75,DGAXP: Dri Gear Axis Polo - Mens | DGCHP: Dri Gear Challenger Polo | DGCHP(Y): Youth Dri Gear Challenger Polo | DGCP: Dri Gear Corporate Pinnacle Polo - Mens | DGDP: Dri Gear Dimension Polo - Mens,product_category_candidate,Apparel,Polo Shirts,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Jackets,,,Clothing / Jackets,38,38,AN(C): Contrast Basecamp Anorak | AN(P): Plain Basecamp Anorak | AN(Y): Youth Plain Basecamp Anorak | CWJ: Crosswinds Jacket | DJ: District Jacket - Mens,product_category_candidate,Apparel,Jackets,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Cooler Bags,,,Bags / Cooler Bags,15,15,BBCC: Bottle Caddy Cooler | BBISC: Bistro Cooler | BCOS: Cool Shuttle | BCR: Cool Runner | BDUC: Duo Cooler,product_category_candidate,Bags,Cooler Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Backpacks,,,Bags / Backpacks,14,14,BBB: Basket Backpack | BFGB: Fugitive Backpack | BFLB: Fluid Backpack | BGMB: Grommet Backpack | BICB: Identity Compu Backpack,product_category_candidate,Bags,Backpacks,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,T Shirts,,,Clothing / T Shirts,14,14,DGLS: Dri Gear Long Sleeve Tee - Mens | DGR: Dri Gear Plain Raglan Tee - Mens | DGST(I): Dri Gear Spliced Zenith Impact Tee | DGZT: Dri Gear Zone Tee | DGZT(Y): Youth Dri Gear Zone Tee,product_category_candidate,Apparel,T-Shirts,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Merino,,,Clothing / Merino,13,13,EGMDP: Merino Detailed Vee Pullover - Mens | EGMFV: Merino Fully Fashioned Vest - Mens | EGMSP: Merino Short Sleeve Polo - Mens | EGMZ: Merino Zip Pullover - Mens | WEGMCD: Merino Cardigan - Womens,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=11, unresolved=2, conflict=0. Top targets: Apparel > Sweatshirts:4, Apparel > Vests:4, Apparel > Polo Shirts:2, Headwear > Beanies:1"
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Vests,,,Clothing / Vests,13,13,ASROV: Agri Station Ranger Oilskin Vest | FPV: Frontier Puffa Vest | GV: Gravity Vest | LV: Legacy Vest - Mens | NV: Nylon Ottoman Vest,product_category_candidate,Apparel,Vests,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Duffle/Sports Bags,,,Bags / Duffle/Sports Bags,12,12,BHVS: Hydrovent Sports Bag | BKDS: Kodiak Sports Bag | BKKS: Kamakazzi Sports Bag | BMS: Marine Sports Bag | BPS: Plain Sports Bag,product_category_candidate,Bags,Travel & Duffle Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living,Cheese Boards,,,Home & Living / Cheese Boards,12,12,POCS: Carving Set | POCCB: Clamshell Cheese Board | POCB: Gourmet Cheese Board Set | PONSB: Napoli Serving Board | POPPS: Pizza Peel Set,product_category_candidate,Home & Living,Cheese & Serving Boards,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Travel Bags,,,Bags / Travel Bags,11,11,BBT: Bus Travel Bag | BLD: Lansdowne Duffle | BMO: Milan Overnight Bag | BST: Solitude Travel Bag | BTGB: Transporter Garment Bag,product_category_candidate,Bags,Travel & Duffle Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Bags,Laptops,,,Bags / Laptops,10,10,BES: Express Conference Satchel | BIB: Identity Brief Bag | BPOB: Portal Brief Bag | BPOCB: Portal Compu Backpack | BSM: Satellite Messenger Bag,product_category_candidate,Bags,Laptop Bags,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Drinkware,Drink Bottles,,,Drinkware / Drink Bottles,10,10,POCHB: Chill Hydro Bottle | POEGB: Envy Glass Bottle | POGB: Orbit Glass Bottle | POTFI: Tea & Fruit Infuser Bottle | POAB: Absorption Bottle,product_category_candidate,Drinkware,Drink Bottles,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Pullovers,,,Clothing / Pullovers,8,8,ASBJ: Agri Station Boundary Jersey | BT: Ballistic Top | DGRFZ: Dri Gear Reflex Zip Pullover | DGRFZ(Y): Youth Dri Gear Reflex Zip Pullover | TNT: Transition Top,product_category_candidate,,,,product_keyword_rules_partial,partial product-level cleanup; unresolved products remain,,,,"Product-level cleanup partial. auto=5, unresolved=3, conflict=0. Top targets: Apparel > Sweatshirts:4, Apparel > Hoodies:1"
Gear For Life,Categorisation + category_ /_ sub category,Drinkware,Glassware,,,Drinkware / Glassware,8,8,POAGC: Aroma Glass Coffee Cup Set | POGGS: Ginaissance Glass Set | POHWGS: Highland Whisky Glass Set | POTF2S: Tea For2 Set | POBWD: Barolo Wine Decanter,product_category_candidate,Drinkware,Glassware,0.9,auto_mapped,,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,Shorts,,,Clothing / Shorts,7,7,DGSH: Dri Gear Shorts - Mens | ODGSH: Dri Gear Shorts - Mens | OWDGSH: Dri Gear Shorts - Womens | OMTS: Training Shorts – Mens | OAS: Active Shorts - Mens,product_category_candidate,Apparel,Pants & Shorts,0.9,auto_mapped,,,,,
