slug,page_type,source_type,source_label,primary_keyword,title,h1,nav_label,home_label,meta_description,canonical_url,product_filter,seo_content,faq,hero_image,status,priority,show_in_home,show_in_nav,show_in_footer,breadcrumb_parent,related_urls,noindex
promotional-giveaways-australia,product_category,category,Giveaways & Event Accessories,promotional giveaways australia,Promotional Giveaways Australia | QuirkyPromo,Promotional Giveaways Australia,Giveaways & Event Accessories,Giveaways & Event Accessories,"Browse Giveaways & Event Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/promotional-giveaways-australia,"{""type"":""category"",""category"":""Giveaways & Event Accessories""}",,[],,draft,5,false,true,false,,[],false
outdoor-promotional-products-australia,product_category,category,Outdoor & Sports,outdoor promotional products australia,Outdoor Promotional Products Australia | QuirkyPromo,Outdoor Promotional Products Australia,Outdoor & Sports,Outdoor & Sports,"Browse Outdoor & Sports promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/outdoor-promotional-products-australia,"{""type"":""category"",""category"":""Outdoor & Sports""}",,[],,draft,5,false,true,false,,[],false
branded-homewares-australia,product_category,category,Home & Living,branded homewares australia,Branded Homewares Australia | QuirkyPromo,Branded Homewares Australia,Home & Living,Home & Living,"Browse Home & Living promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-homewares-australia,"{""type"":""category"",""category"":""Home & Living""}",,[],,draft,5,false,true,false,,[],false
branded-travel-accessories-australia,product_category,category,Travel,branded travel accessories australia,Branded Travel Accessories Australia | QuirkyPromo,Branded Travel Accessories Australia,Travel,Travel,"Browse Travel promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-travel-accessories-australia,"{""type"":""category"",""category"":""Travel""}",,[],,draft,5,false,true,false,,[],false
branded-tools-and-car-accessories-australia,product_category,category,Tools & Auto,branded tools and car accessories australia,Branded Tools and Car Accessories Australia | QuirkyPromo,Branded Tools and Car Accessories Australia,Tools & Auto,Tools & Auto,"Browse Tools & Auto promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-tools-and-car-accessories-australia,"{""type"":""category"",""category"":""Tools & Auto""}",,[],,draft,5,false,true,false,,[],false
branded-barware-australia,product_category,category,Barware & Accessories,branded barware australia,Branded Barware Australia | QuirkyPromo,Branded Barware Australia,Barware & Accessories,Barware & Accessories,"Browse Barware & Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-barware-australia,"{""type"":""category"",""category"":""Barware & Accessories""}",,[],,draft,5,false,true,false,,[],false
custom-keyrings-australia,product_category,category,Key Rings,custom keyrings australia,Custom Keyrings Australia | QuirkyPromo,Custom Keyrings Australia,Key Rings,Key Rings,"Browse Key Rings promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-keyrings-australia,"{""type"":""category"",""category"":""Key Rings""}",,[],,draft,5,false,true,false,,[],false
trade-show-displays-australia,product_category,category,Flags & Displays,trade show displays australia,Trade Show Displays Australia | QuirkyPromo,Trade Show Displays Australia,Flags & Displays,Flags & Displays,"Browse Flags & Displays promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/trade-show-displays-australia,"{""type"":""category"",""category"":""Flags & Displays""}",,[],,draft,5,false,true,false,,[],false
printed-marketing-materials-australia,product_category,category,Marketing Materials,printed marketing materials australia,Printed Marketing Materials Australia | QuirkyPromo,Printed Marketing Materials Australia,Marketing Materials,Marketing Materials,"Browse Marketing Materials promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/printed-marketing-materials-australia,"{""type"":""category"",""category"":""Marketing Materials""}",,[],,draft,5,false,true,false,,[],false
branded-office-supplies-australia,product_category,category,Office & Desk,branded office supplies australia,Branded Office Supplies Australia | QuirkyPromo,Branded Office Supplies Australia,Office & Desk,Office & Desk,"Browse Office & Desk promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-office-supplies-australia,"{""type"":""category"",""category"":""Office & Desk""}",,[],,draft,5,false,true,false,,[],false
custom-bags-australia,product_category,category,Bags,custom bags australia,Custom Bags Australia | QuirkyPromo,Custom Bags Australia,Bags,Bags,"Browse Bags promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-bags-australia,"{""type"":""category"",""category"":""Bags""}",,[],,draft,10,true,true,false,,[],false
custom-branded-apparel-australia,product_category,category,Apparel,custom branded apparel australia,Custom Branded Apparel Australia | QuirkyPromo,Custom Branded Apparel Australia,Apparel,Apparel,"Browse Apparel promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-branded-apparel-australia,"{""type"":""category"",""category"":""Apparel""}",,[],,draft,10,true,true,false,,[],false
custom-drinkware-australia,product_category,category,Drinkware,custom drinkware australia,Custom Drinkware Australia | QuirkyPromo,Custom Drinkware Australia,Drinkware,Drinkware,"Browse Drinkware promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-drinkware-australia,"{""type"":""category"",""category"":""Drinkware""}",,[],,draft,10,true,true,false,,[],false
branded-pens-australia,product_category,category,Pens,branded pens australia,Branded Pens Australia | QuirkyPromo,Branded Pens Australia,Pens,Pens,"Browse Pens promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-pens-australia,"{""type"":""category"",""category"":""Pens""}",,[],,draft,10,true,true,false,,[],false
corporate-tech-gifts-australia,product_category,category,Technology,corporate tech gifts australia,Corporate Tech Gifts Australia | QuirkyPromo,Corporate Tech Gifts Australia,Technology,Technology,"Browse Technology promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/corporate-tech-gifts-australia,"{""type"":""category"",""category"":""Technology""}",,[],,draft,10,true,true,false,,[],false
custom-headwear-australia,product_category,category,Headwear,custom headwear australia,Custom Headwear Australia | QuirkyPromo,Custom Headwear Australia,Headwear,Headwear,"Browse Headwear promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-headwear-australia,"{""type"":""category"",""category"":""Headwear""}",,[],,draft,5,false,true,false,,[],false
custom-packaging-australia,product_category,category,Packaging,custom packaging australia,Custom Packaging Australia | QuirkyPromo,Custom Packaging Australia,Packaging,Packaging,"Browse Packaging promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-packaging-australia,"{""type"":""category"",""category"":""Packaging""}",,[],,draft,5,false,true,false,,[],false
branded-personal-care-products-australia,product_category,category,Personal Care,branded personal care products australia,Branded Personal Care Products Australia | QuirkyPromo,Branded Personal Care Products Australia,Personal Care,Personal Care,"Browse Personal Care promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-personal-care-products-australia,"{""type"":""category"",""category"":""Personal Care""}",,[],,draft,5,false,true,false,,[],false
