slug,page_type,source_type,source_label,primary_keyword,title,h1,nav_label,home_label,meta_description,canonical_url,product_filter,seo_content,faq,hero_image,status,priority,show_in_home,show_in_nav,show_in_footer,breadcrumb_parent,related_urls,noindex,seed_group,page_role,source_notes
promotional-giveaways-australia,product_category,category,Giveaways & Event Accessories,promotional giveaways australia,Promotional Giveaways Australia | QuirkyPromo,Promotional Giveaways Australia,Giveaways & Event Accessories,Giveaways & Event Accessories,"Browse Giveaways & Event Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/promotional-giveaways-australia,"{""type"":""category"",""category"":""Giveaways & Event Accessories""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
outdoor-promotional-products-australia,product_category,category,Outdoor & Sports,outdoor promotional products australia,Outdoor Promotional Products Australia | QuirkyPromo,Outdoor Promotional Products Australia,Outdoor & Sports,Outdoor & Sports,"Browse Outdoor & Sports promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/outdoor-promotional-products-australia,"{""type"":""category"",""category"":""Outdoor & Sports""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
branded-homewares-australia,product_category,category,Home & Living,branded homewares australia,Branded Homewares Australia | QuirkyPromo,Branded Homewares Australia,Home & Living,Home & Living,"Browse Home & Living promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-homewares-australia,"{""type"":""category"",""category"":""Home & Living""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
branded-travel-accessories-australia,product_category,category,Travel,branded travel accessories australia,Branded Travel Accessories Australia | QuirkyPromo,Branded Travel Accessories Australia,Travel,Travel,"Browse Travel promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-travel-accessories-australia,"{""type"":""category"",""category"":""Travel""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
branded-tools-and-car-accessories-australia,product_category,category,Tools & Auto,branded tools and car accessories australia,Branded Tools and Car Accessories Australia | QuirkyPromo,Branded Tools and Car Accessories Australia,Tools & Auto,Tools & Auto,"Browse Tools & Auto promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-tools-and-car-accessories-australia,"{""type"":""category"",""category"":""Tools & Auto""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
branded-barware-australia,product_category,category,Barware & Accessories,branded barware australia,Branded Barware Australia | QuirkyPromo,Branded Barware Australia,Barware & Accessories,Barware & Accessories,"Browse Barware & Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-barware-australia,"{""type"":""category"",""category"":""Barware & Accessories""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
custom-keyrings-australia,product_category,category,Key Rings,custom keyrings australia,Custom Keyrings Australia | QuirkyPromo,Custom Keyrings Australia,Key Rings,Key Rings,"Browse Key Rings promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-keyrings-australia,"{""type"":""category"",""category"":""Key Rings""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
trade-show-displays-australia,product_category,category,Flags & Displays,trade show displays australia,Trade Show Displays Australia | QuirkyPromo,Trade Show Displays Australia,Flags & Displays,Flags & Displays,"Browse Flags & Displays promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/trade-show-displays-australia,"{""type"":""category"",""category"":""Flags & Displays""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
printed-marketing-materials-australia,product_category,category,Marketing Materials,printed marketing materials australia,Printed Marketing Materials Australia | QuirkyPromo,Printed Marketing Materials Australia,Marketing Materials,Marketing Materials,"Browse Marketing Materials promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/printed-marketing-materials-australia,"{""type"":""category"",""category"":""Marketing Materials""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
branded-office-supplies-australia,product_category,category,Office & Desk,branded office supplies australia,Branded Office Supplies Australia | QuirkyPromo,Branded Office Supplies Australia,Office & Desk,Office & Desk,"Browse Office & Desk promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-office-supplies-australia,"{""type"":""category"",""category"":""Office & Desk""}",,[],,draft,5,false,true,false,,[],false,category_master,category,
