collection_name,nav_label,slug,page_kind,primary_kit_theme,kit_themes,offer_type_scope,target_audience,use_case,related_categories,source_candidate_count,source_supplier_counts,show_in_nav,show_in_footer,seo_priority,primary_keyword,title,h1,meta_description,notes
Custom Merch Kits,Kits & Bundles,custom-merch-kits-australia,hub,all,employee_onboarding; conference_event; office_school; wellness_care; beach_outdoor; food_drink_gifting; eco_sustainable; tech_gift_set; premium_corporate_gift; general_corporate_gifting,prebuilt_kit; prebuilt_bundle; gift_set; hamper; custom_kit_template,"Marketing teams, HR teams, event teams, real estate teams, agencies","Main hub for custom merch kits, bundles, gift sets and branded packs",Bags; Drinkware; Pens; Office & Desk; Packaging; Apparel; Technology; Personal Care; Home & Living,104,,true,true,100,custom merch kits Australia,Custom Merch Kits Australia | Branded Kits & Bundles,Custom Merch Kits Australia,"Build branded merch kits, gift sets and event bundles using products from QuirkyPromo categories, with options for packaging and custom quote support.",Hub page. It can show all kit candidates and custom kit templates.
Employee Onboarding Kits,Onboarding Kits,employee-onboarding-kits-australia,kit_collection,employee_onboarding,employee_onboarding; office_school,prebuilt_kit; prebuilt_bundle; gift_set; custom_kit_template,"HR teams, people teams, startups, corporate employers",Welcome packs for new employees and remote staff,Bags; Drinkware; Office & Desk; Pens; Apparel; Technology; Packaging,5,Logoline:4; NIConcept:1,true,true,95,employee onboarding kits Australia,Employee Onboarding Kits Australia | Branded Welcome Packs,Employee Onboarding Kits Australia,"Create branded employee onboarding kits with notebooks, pens, drink bottles, bags, apparel, tech gifts and custom packaging.",Can include office_school candidates when the product is suitable as a welcome/work pack.
Conference & Event Kits,Conference Kits,conference-event-kits-australia,kit_collection,conference_event,conference_event,prebuilt_kit; prebuilt_bundle; gift_set; custom_kit_template,"Event managers, conference organisers, associations, expos","Conference packs, event attendee kits and tradeshow giveaway bundles",Giveaways & Event Accessories; Bags; Pens; Office & Desk; Drinkware; Flags & Displays,3,Logoline:3,true,true,90,conference event kits Australia,Conference Event Kits Australia | Branded Event Packs,Conference & Event Kits Australia,"Plan branded conference kits and event packs with lanyards, tote bags, notebooks, pens, drink bottles and practical giveaway items.","Event-specific collection. Good internal links to lanyards, tote bags and notebooks."
Corporate Gift Sets,Corporate Gift Sets,corporate-gift-sets-australia,kit_collection,corporate_gift_sets,food_drink_gifting; general_corporate_gifting; premium_corporate_gift,gift_set; hamper; prebuilt_kit; custom_kit_template,"Corporate buyers, client relationship teams, agencies, sales teams","Client gifts, thank-you sets, food and drink gift boxes, premium branded gifts",Drinkware; Barware & Accessories; Home & Living; Confectionery; Packaging; Bags,38,Logoline:25; NIConcept:13,true,true,96,corporate gift sets Australia,Corporate Gift Sets Australia | Branded Gift Boxes & Hampers,Corporate Gift Sets Australia,"Source branded corporate gift sets and hampers with drinkware, barware, homewares, confectionery and premium packaging options.","Primary home for supplier gift sets, hampers, food/drink gifting and premium gifting."
Wellness Gift Packs,Wellness Packs,wellness-gift-packs-australia,kit_collection,wellness_care,wellness_care,prebuilt_kit; gift_set; custom_kit_template,"HR teams, healthcare campaigns, wellness programs, safety teams","Wellness packs, care packs, hygiene kits and staff wellbeing gifts",Personal Care; Outdoor & Sports; Drinkware; Packaging; Office & Desk,6,Logoline:6,true,true,82,wellness gift packs Australia,Wellness Gift Packs Australia | Branded Care Packs,Wellness Gift Packs Australia,"Create branded wellness gift packs and care kits with personal care items, drinkware, packaging and practical promotional products.",Keep separate from medical claims; this is promotional wellness/care gifting.
Eco Merch Kits,Eco Merch Kits,eco-merch-kits-australia,kit_collection,eco_sustainable,eco_sustainable,prebuilt_kit; gift_set; custom_kit_template,"Sustainability-led brands, events, HR teams, agencies","Eco gift packs, reusable merch kits and sustainability-themed bundles",Bags; Drinkware; Office & Desk; Pens; Packaging; Home & Living,3,Logoline:3,true,true,80,eco merch kits Australia,Eco Merch Kits Australia | Sustainable Branded Bundles,Eco Merch Kits Australia,"Build eco merch kits with reusable bags, drinkware, notebooks, pens, packaging and sustainable branded product options.","Works with eco filter pages and sustainability content, but remains a collection/kit page."
Tech Gift Sets,Tech Gift Sets,tech-gift-sets-australia,kit_collection,tech_gift_set,tech_gift_set,gift_set; prebuilt_kit; custom_kit_template,"Corporate teams, agencies, IT campaigns, employee gifting",Technology gift sets and branded tech bundles,Technology; Office & Desk; Bags; Packaging,22,Logoline:22,true,false,86,tech gift sets Australia,Tech Gift Sets Australia | Branded Technology Bundles,Tech Gift Sets Australia,"Source branded tech gift sets with chargers, speakers, earbuds, power banks, office items and custom packaging options.",Supplier candidates are strong here. Internal link to Technology category.
Outdoor Event Kits,Outdoor Event Kits,outdoor-event-kits-australia,kit_collection,beach_outdoor,beach_outdoor,prebuilt_kit; gift_set; custom_kit_template,"Outdoor events, sports days, beach activations, team events","Beach packs, picnic kits, outdoor event bundles and summer merch packs",Outdoor & Sports; Bags; Drinkware; Apparel; Personal Care,13,Logoline:12; NIConcept:1,true,false,78,outdoor event kits Australia,Outdoor Event Kits Australia | Beach & Summer Merch Packs,Outdoor Event Kits Australia,"Create outdoor event kits and beach merch packs with bags, drinkware, towels, sunglasses, picnic gear and branded summer items.",Seasonal and event-heavy. Can support summer campaign pages later.
New Home Gift Kits,New Home Kits,new-home-gift-kits-australia,custom_kit_template,new_home,new_home,custom_kit_template,"Real estate agents, property developers, mortgage brokers, settlement teams",New home handover gifts and settlement gift kits,Home & Living; Drinkware; Barware & Accessories; Packaging; Confectionery,0,,true,false,84,new home gift kits Australia,New Home Gift Kits Australia | Settlement Gift Packs,New Home Gift Kits Australia,"Create new home gift kits for property handovers with homewares, drinkware, barware, confectionery and branded packaging.","Strategic QuirkyPromo-created template. Source from category products, not necessarily supplier prebuilt kits."
Premium Corporate Gift Sets,Premium Gift Sets,premium-corporate-gift-sets-australia,kit_collection,premium_corporate_gift,premium_corporate_gift,gift_set; hamper; custom_kit_template,"Executive gifting, client gifting, premium campaigns",Higher-value corporate gifts and premium client gift sets,Premium Drinkware; Barware & Accessories; Home & Living; Technology; Packaging,1,Logoline:1,false,true,76,premium corporate gift sets Australia,Premium Corporate Gift Sets Australia | Executive Branded Gifts,Premium Corporate Gift Sets Australia,"Plan premium corporate gift sets and executive branded gifts with quality drinkware, tech, barware, homewares and packaging.",Can be linked from corporate gift sets page instead of top nav until content is ready.
Office & School Kits,Office & School Kits,office-and-school-kits-australia,support_collection,office_school,office_school,prebuilt_kit; gift_set; custom_kit_template,"Schools, universities, offices, training programs","Office packs, back-to-school packs and training kits",Office & Desk; Pens; Bags; Packaging,13,Logoline:13,false,false,62,office kits Australia,Office & School Kits Australia | Branded Stationery Packs,Office & School Kits Australia,"Create branded office kits and school packs with notebooks, pens, bags, stationery and packaging options.",Support page. Many items can also appear in employee onboarding kits.
