rule_id,priority,keyword_regex,exclude_regex,target_category,target_subcategory,confidence,suggested_tags,suggested_material,note
TECH-010,10,\bwireless\s+charg(er|ing)|charging\s+pad\b,,Technology,Wireless Chargers,0.94,,,
TECH-020,20,\bpower\s*bank|keychain\s*powerbank|powerbank\b,,Technology,Power Banks,0.95,,,
TECH-030,30,\b(earbud|earbuds|headphone|headphones|tws|skullcandy|anc\s+wireless)\b,,Technology,Earbuds & Headphones,0.95,,,
TECH-040,40,\b(bluetooth\s*)?speaker\b|solar\s+speaker\b,,Technology,Bluetooth Speakers,0.93,,,
TECH-050,50,\busb\s+(flash\s+)?drive\b|\bflash\s+drive\b|\bmemory\s+stick\b|\busb\b.*\b\d+\s*gb\b,,Technology,USB Flash Drives,0.95,,,
TECH-060,60,\b(charging|charge|charger|adapter|cable|cables|3\s*in\s*1\s*cable|type[- ]?c|lightning)\b,bottle\s+opener|keytag,Technology,Charging Cables & Chargers,0.88,,,
TECH-070,70,\b(phone|mobile|tablet|ipad)\s+(stand|holder|mount|grip|wallet)\b|\bcar\s+mount\b|\bphone\s+card\s+holder\b|\bpop\s*socket\b,,Technology,Phone Accessories,0.9,,,
TECH-080,80,\bwebcam\s+cover|screen\s+(cleaner|cleaning\s+cloth)|micro\s*fibre\s+(cloth|pouch)|microfiber\s+(cloth|pouch)|cable\s+organiser|cable\s+organizer|\borganiser\s+pouch\b,,Technology,Tech Accessories,0.86,,,
GIVE-010,100,\blanyard\b,charging|charge|power\s+band,Giveaways & Event Accessories,Lanyards,0.94,,,
GIVE-020,110,\bwrist\s*band|wristband\b,,Giveaways & Event Accessories,Wristbands,0.94,,,
GIVE-030,120,\bbadge\b,,Giveaways & Event Accessories,Badges,0.92,,,
GIVE-040,130,\bid\s+(holder|card)|card\s+holder\b,phone|business|credit,Giveaways & Event Accessories,ID Holders,0.86,,,
GIVE-050,140,\btemporary\s+tattoo|tattoo\b,,Giveaways & Event Accessories,Temporary Tattoos,0.95,,,
GIVE-060,150,\bballoon\b,,Giveaways & Event Accessories,Balloons,0.95,,,
GIVE-070,160,\bfridge\s+magnet|magnetic\s+whiteboard|magnet\b,car\s+mount,Giveaways & Event Accessories,Magnets,0.84,,,
GIVE-080,170,\bpatch\b|promotional\s+sticker\b,,Giveaways & Event Accessories,Stickers & Patches,0.84,,,
BAR-010,200,\bbottle\s+opener\b|\bwaiter'?s?\s+knife\b|\bcorkscrew\b,,Barware & Accessories,Bottle Openers,0.95,,,
BAR-020,210,\bcoasters?\b,,Barware & Accessories,Coasters,0.94,,,
BAR-030,220,\bstubby\b|stubbie\b|\bcan\s+cooler\b|\bdrink\s+cooler\b,,Barware & Accessories,Stubby Holders,0.92,,,
BAR-040,230,\bbar\s+(mat|runner)\b,,Barware & Accessories,Bar Mats,0.95,,,
BAR-050,240,\bwine\s+(cooler|rack|table|stopper|opener)|hip\s+flask|whiskey\s+stone|whisky\s+stone\b,,Barware & Accessories,Wine Accessories,0.9,,,
BAR-060,250,\bstraws?\b|cocktail\s+shaker|ice\s+bucket|ice\s+cubes?\b,,Barware & Accessories,Bar Accessories,0.86,,,
DRINK-010,300,\b(water|drink|drinking|sports?)\s*bottle\b|\b\d+\s*(ml|l)\s*bottle\b|\bbottle\s*\(?\d|bottle\b.*\b(ml|litre|liter|l)\b,opener|holder|pouch|bag|gift\s+bag|wine\s+bag,Drinkware,Drink Bottles,0.9,,,
DRINK-020,310,\bcoffee\s+cup\b|\breusable\s+cup\b|\bkeep\s*cup\b,,Drinkware,Coffee Cups,0.92,,,
DRINK-030,320,\btravel\s+mug\b|\bvacc?uum\s+cup\b|\binsulated\s+cup\b,,Drinkware,Travel Mugs,0.88,,,
DRINK-040,330,\btumbler\b|\bsmoothie\b|\bshaker\s+cup\b|\b\d+\s*(ml|l)\s*cup\b,,Drinkware,Tumblers,0.9,,,
DRINK-050,340,\bmug\b|\bceramic\s+cup\b,travel\s+mug,Drinkware,Mugs,0.88,,,
DRINK-060,350,\bglassware\b|\bglass\b|\bwine\s+glass\b|\bbeer\s+glass\b,,Drinkware,Glassware,0.86,,,
DRINK-070,360,\bflask\b|\bthermos\b,hip\s+flask,Drinkware,Flasks,0.84,,,
DRINK-080,370,\btea\s+(set|infuser|pot)|teaware\b,,Drinkware,Teaware,0.86,,,
BAG-010,400,\blaptop\s+(bag|backpack|sleeve|case)\b,,Bags,Laptop Bags,0.94,,,
BAG-020,410,\bbackpack\b,,Bags,Backpacks,0.94,,,
BAG-030,420,\btote\b|\bcalico\s+bag\b|\bshopping\s+bag\b|\bbamboo\s+bag\b|\bnon\s+woven\s+bag\b|\bproduce\s+bag\b,paper\s+shopping\s+bag,Bags,Tote Bags,0.86,,,
BAG-040,430,\bcooler\s+bag\b|\binsulated\s+(grocery\s+)?(bag|tote)\b|\blunch\s+(bag|cooler)\b,,Bags,Cooler Bags,0.92,,,
BAG-050,440,\bdrawstring\b|\bshow\s+bag\b,,Bags,Drawstring Bags,0.9,,,
BAG-060,450,\bduffle\b|\bduffel\b|\btravel\s+bag\b|\bgym\s+bag\b|\bsports?\s+bag\b|\bcarry[- ]?on\b,,Bags,Travel & Duffle Bags,0.86,,,
BAG-070,460,\btoiletry\b|\bcosmetic\s+bag\b|\bmakeup\s+bag\b,,Bags,Toiletry Bags,0.94,,,
BAG-080,470,\bjute\b,,Bags,Jute Bags,0.9,,,
BAG-090,480,\bpaper\s+(bag|shopping\s+bag)\b,,Bags,Paper Bags,0.92,,,
BAG-100,490,\bwine\s+(carrier|bag)\b,,Bags,Wine Carriers,0.9,,,
BAG-110,500,\bcrossbody\b|\bbelt\s+bag\b|\bbum\s+bag\b,,Bags,Crossbody & Belt Bags,0.9,,,
BAG-120,510,\bsatchel\b,,Bags,Satchel Bags,0.9,,,
BAG-130,520,\bdry\s+bag\b,,Bags,Dry Bags,0.92,,,
HEAD-010,600,\b(bucket\s+hat)\b,,Headwear,Bucket Hats,0.95,,,
HEAD-020,610,\bwide\s+brim\b,,Headwear,Wide Brim Hats,0.95,,,
HEAD-030,620,\bstraw\s+hat\b,,Headwear,Straw Hats,0.94,,,
HEAD-040,630,\bbeanie\b,,Headwear,Beanies,0.95,,,
HEAD-050,640,\bvisor\b,,Headwear,Visors,0.94,,,
HEAD-060,650,\bcap\b|\bsnapback\b|\btrucker\b,cap\s+gun|capacity,Headwear,Caps,0.9,,,
HEAD-070,660,\bsanta\s+hat\b|\bnovelty\s+hat\b,,Headwear,Novelty Headwear,0.92,,,
APP-010,700,\bt[- ]?shirt\b|\btee\b|\bsinglet\b,,Apparel,T-Shirts,0.9,,,
APP-020,710,\bpolo\b,,Apparel,Polo Shirts,0.94,,,
