rule_set,rule_source,supplier_scope,raw_signal,product_keyword_regex,exclude_regex,target_category,target_subcategory,attributes_or_tags,mapping_status,action,notes
category_mapping_v4,outputs/supplier_mapping/supplier_category_mappings_DRAFT_v4.csv,all,raw_category_path,,,,,,use_existing,seed_transform_preview,"Primary category/subcategory mapping source. Keep conservative statuses."
keyword_mapping_existing,outputs/supplier_mapping/supplier_keyword_rules_DRAFT.csv,NIConcept broad categories,raw_category_path + product_name,,,,,,use_existing,apply_when_confident,"Use high-confidence keyword mappings for broad supplier categories."
keyword_mapping_remaining,outputs/supplier_mapping/remaining_review_keyword_rules_DRAFT.csv,remaining review products,product_name,,,,,,use_existing,apply_when_confident,"Use only when no exclusion matches and confidence is high."
collection_signal,category path,PromoBrands,Sale,,,,,"collection:sale",collection_or_tag,tag_only,"Do not make Sale a primary category."
collection_signal,category path,PromoBrands,Trending,,,,,"collection:trending",collection_or_tag,tag_only,"Do not make Trending a primary category."
collection_signal,category path,PromoBrands,Eco+ Collection,,,,,"eco,collection:eco",collection_or_tag,tag_only,"Use as eco/tag signal after product category is established."
collection_signal,category path,PromoBrands,Legendary Range,,,,,"collection:legendary",collection_or_tag,tag_only,"Use as collection signal, not category."
fulfillment_signal,category path,PromoBrands,Offshore Express,,,,,"fulfillment:indent_air_or_custom",fulfillment_only,fulfillment_only,"Treat as fulfillment/service signal. Do not map to category."
fulfillment_signal,category path,Logoline,Indent,,,,,"fulfillment:indent_air_or_sea",fulfillment_only,fulfillment_only,"Treat Indent as fulfillment, not category."
kit_signal,category path,Logoline,Gift Sets|Packs & Gifting,,,,,"offer_type:gift_set",kit_or_bundle,manual_review,"Route to Kits/Bundles strategy before product import."
kit_signal,category path,NIConcept,Giftsets|Hampers,,,,,"offer_type:gift_set|hamper",kit_or_bundle,manual_review,"Route to Kits/Bundles strategy before product import."
kit_signal,product name,all,"kit|pack|bundle|hamper|gift set",,,,,"offer_type review",kit_or_bundle,manual_review,"Single-product multi-packs can remain normal products only after review."
image_safety,raw image rows,all,colour_key missing and colour_name missing,,,,,"image:unlinked,gallery_fallback",needs_review,route_to_product_images_gallery,"Keep image raw. If it cannot be matched to one colour, send it to product_images with image_role=gallery after product approval."
image_safety,raw image rows,all,colour_key or colour_name does not match colour options,,,,,"image:mismatch,gallery_fallback",needs_review,route_to_product_images_gallery,"Do not put mismatched images into product_colours.images. Use product_images gallery fallback."
image_safety,raw colour rows,all,colour option has no image,,,,,"colour:missing_image",needs_review,block_product_publish,"Keep colour row and flag for image QA."
sku_safety,raw product rows,all,same supplier_sku has multiple product names,,,,,,blocked,manual_review,"Do not dedupe by guessing. Resolve SKU/name conflict first."
price_safety,raw price rows,all,missing price rows,,,,,,needs_review,manual_review,"Can remain draft, but do not publish products lacking expected pricing."
decoration_safety,raw decoration rows,all,missing decoration method,,,,,,needs_review,manual_review,"Keep raw decoration data and block decoration display until reviewed."
preview_default,transform preview,all,normal product row,,,,,"page_role:P,fulfillment:local_stock",ready,set_defaults,"Default normal products to P/local_stock unless supplier fulfillment signals say otherwise."
brand_safety,raw brand/category path,PromoBrands,Bic Promo,,,,,"brand:BIC",ready,normalize_brand,"Only when product source confirms BIC/Bic branding."
brand_safety,raw brand/category path,PromoBrands,Eco+ Collection|Legendary Range|Offshore Express,,,,,,collection_or_tag,not_brand,"These are not product brands."
