Keyword,Intent,Target URL (建议),Page type,Status,Monthly volume (Keyword Planner 填),Current position (GSC 填),Notes
custom pens australia,买定制笔,现有 Pens 类目页,category,已上,,,已有归属,继续观察
black promotional pens,黑色定制笔,现有颜色集合页,colour collection,已上,,,已有归属
custom white tote bags,白色定制托特包,现有子类目颜色页,colour collection,已上,,,已有归属
corporate gifts australia,企业礼品,现有 Corporate Gifts 场景页,use-case,已上,,,已有归属
black custom tote bags,黑色定制托特包,/black-custom-tote-bags(新),colour collection,待做,,,数据现成:tote+black 有货
custom drink bottles australia,定制水壶,Drinkware 类目或新落地页,category/landing,待做,,,产品多、B2B 高频
branded caps australia,定制帽子,Headwear 类目或新落地页,category/landing,待做,,,活动/队服常配
eco friendly promotional products australia,环保促销品,现有 /sustainability(Eco),use-case,已上待优化,,,页面在,文案未按落地页结构做
trade show giveaways australia,展会赠品,/trade-show-giveaways-australia(新),use-case,待做,,,高意图场景词
custom stubby holders australia,定制保冷套,Stubby/Drinkware 子类目,category,待做,,,澳洲特色品,竞争小
promotional notebooks with logo,定制笔记本,Notebooks 子类目,category,待做,,,B2B 常订
custom beach towels bulk,批量定制沙滩巾,Towels 子类目,category,待做,,,mandala 那款 meta 已在打这个词
