slug,page_type,source_type,page_role,filter_type,filter_keys,category,subcategory,material,tags,kit_themes,offer_types,required_product_fields,query_shape,empty_page_policy
promotional-giveaways-australia,product_category,category,,category,category,Giveaways & Event Accessories,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
outdoor-promotional-products-australia,product_category,category,,category,category,Outdoor & Sports,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-homewares-australia,product_category,category,,category,category,Home & Living,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-travel-accessories-australia,product_category,category,,category,category,Travel,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-tools-and-car-accessories-australia,product_category,category,,category,category,Tools & Auto,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-barware-australia,product_category,category,,category,category,Barware & Accessories,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-keyrings-australia,product_category,category,,category,category,Key Rings,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
trade-show-displays-australia,product_category,category,,category,category,Flags & Displays,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
printed-marketing-materials-australia,product_category,category,,category,category,Marketing Materials,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-office-supplies-australia,product_category,category,,category,category,Office & Desk,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-bags-australia,product_category,category,,category,category,Bags,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-branded-apparel-australia,product_category,category,,category,category,Apparel,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-drinkware-australia,product_category,category,,category,category,Drinkware,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
branded-pens-australia,product_category,category,,category,category,Pens,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
