raw_category_path,target_category,target_subcategory,page_role,fulfillment,lead_time_min_days,lead_time_max_days,lead_time_unit,lead_time_basis,lead_time_note,mapping_status,confidence,action,suggested_category,suggested_subcategory,notes
Clothing / Shirts,Apparel,Shirts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Polo Shirts,Apparel,Polo Shirts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Jackets,Apparel,Jackets,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / T Shirts,Apparel,T-Shirts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Vests,Apparel,Vests,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Shorts,Apparel,Pants & Shorts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Pants,Apparel,Pants & Shorts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Bags / Cooler Bags,Bags,Cooler Bags,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Bags / Backpacks,Bags,Backpacks,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Bags / Duffle/Sports Bags,Bags,Travel & Duffle Bags,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Bags / Travel Bags,Bags,Travel & Duffle Bags,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Bags / Laptops,Bags,Laptop Bags,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Drinkware / Drink Bottles,Drinkware,Drink Bottles,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Drinkware / Glassware,Drinkware,Glassware,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Home & Living / Cheese Boards,Home & Living,Cheese & Serving Boards,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Home & Living / Kitchenware,Home & Living,Kitchen & Dining,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Fun & Games / Games,Toys & Games,Games & Puzzles,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.90,auto_preview,,,"Clear Gear For Life category mapping. P means primary product category page, not F/filter page."
Clothing / Singlets,Apparel,T-Shirts,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,ready,0.86,auto_preview,,,"All products matched one high-confidence target. P means primary product category page, not F/filter page."
Clothing / Merino,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Apparel,Sweatshirts,"Suggestion only. Merino/Pullover/Top-style products likely belong in Sweatshirts, but do not auto-apply. Known unresolved SKUs: BHZQM, WEGMCD."
Clothing / Pullovers,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Apparel,Sweatshirts,"Suggestion only. Top under Pullovers should be reviewed as Sweatshirts. Known unresolved SKUs: BT, OTNT, TNT."
Clothing / Fleece,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Apparel,Sweatshirts,"Suggestion only. Top under Fleece should be reviewed as Sweatshirts. Known unresolved SKU: OVT."
Leisure & Outdoors,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Tools & Auto,Tool Sets & Screwdrivers,"Suggestion only for Nature Secateurs; mixed products require manual review. Known unresolved SKU: PONS."
Leisure & Outdoors / Coolers,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Barware & Accessories,Bar Accessories,"Suggestion only for Polar Ice 7.2L Bucket; confirm barware vs cooler/outdoor. Known unresolved SKU: POPIB."
Home & Living / Miscellaneous Homeware,,,P,local_stock,10,12,business_days,decorated,10-12 business days after artwork approval,needs_review,,manual_review,Barware & Accessories,Bar Accessories,"Suggestion only for cocktail set; confirm barware vs home/kitchen. Known unresolved SKU: PODCS."
