supplier,supplier_sku,product_name,decoration_option_key,decoration_method,decoration_area,decoration_location,artwork_size_label,max_width_mm,max_height_mm,pricing_model,price_status,setup_cost,repeat_setup_cost,setup_cost_label,pricing_basis,additional_colour_policy,source_row_number,raw_json
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,100.00,120.00,sku_location_qty,priced,25.00,,New Setup $25.00,per_unit,,5,"{""source_row_number"": 5, ""raw_location"": ""Bottle - 100x120mm"", ""raw_method"": ""UVDTF Full Colour - Large"", ""raw_setup"": ""New Setup $25.00""}"
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,200.00,150.00,sku_location_qty,priced,25.00,,New Setup $25.00,per_unit,,6,"{""source_row_number"": 6, ""raw_location"": ""Bottle - 200x150mm"", ""raw_method"": ""UVDTF Full Colour - Large"", ""raw_setup"": ""New Setup $25.00""}"
Gear For Life,POAB,Absorption Bottle,poab|pad_printing|box_lid_max_70x40mm|70x40mm,Pad Printing,Box Lid - max 70x40mm,Box Lid,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,7,"{""source_row_number"": 7, ""raw_location"": ""Box Lid - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POAB,Absorption Bottle,poab|pad_printing|bottle_45x45mm|45x45mm,Pad Printing,Bottle - 45x45mm,Bottle,45x45mm,45.00,45.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,8,"{""source_row_number"": 8, ""raw_location"": ""Bottle - 45x45mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POAB,Absorption Bottle,poab|pad_printing|silicone_base_20x60mm|20x60mm,Pad Printing,Silicone base - 20x60mm,Silicone base,20x60mm,20.00,60.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,9,"{""source_row_number"": 9, ""raw_location"": ""Silicone base - 20x60mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POAB,Absorption Bottle,poab|laser_engraving|bottle_35x40mm_or_20x80mm|35x40mm,Laser Engraving,Bottle - 35x40mm or 20x80mm,Bottle,35x40mm,35.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,10,"{""source_row_number"": 10, ""raw_location"": ""Bottle - 35x40mm or 20x80mm"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POAFS,Apero Fromage Set,poafs|pad_printing|box_lid_max_70x40mm|70x40mm,Pad Printing,Box Lid - max 70x40mm,Box Lid,70x40mm,70.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,11,"{""source_row_number"": 11, ""raw_location"": ""Box Lid - max 70x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POAFS,Apero Fromage Set,poafs|laser_engraving|board_40x40mm_or_equivalent|40x40mm,Laser Engraving,Board - 40x40mm (or equivalent),Board,40x40mm,40.00,40.00,sku_location_qty,priced,75.00,25.00,Logo $75 / Repeat $25,per_position,,12,"{""source_row_number"": 12, ""raw_location"": ""Board - 40x40mm (or equivalent)"", ""raw_method"": ""Laser Engraving"", ""raw_setup"": ""Logo $75 / Repeat $25""}"
Gear For Life,POAGC,Aroma Glass Coffee Cup Set,poagc|pad_printing|all_2_cups_30x20mm|30x20mm,Pad Printing,All 2 Cups - 30x20mm,All 2 Cups,30x20mm,30.00,20.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,13,"{""source_row_number"": 13, ""raw_location"": ""All 2 Cups - 30x20mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
Gear For Life,POATB,Artisan Tasting Board Set,poatb|pad_printing|box_lid_max_80x40mm|80x40mm,Pad Printing,Box Lid - max 80x40mm,Box Lid,80x40mm,80.00,40.00,sku_location_qty,priced,75.00,50.00,New $75 / Repeat $50,per_colour_position,Additional colour print requirement POA,14,"{""source_row_number"": 14, ""raw_location"": ""Box Lid - max 80x40mm"", ""raw_method"": ""Pad Printing"", ""raw_setup"": ""New $75 / Repeat $50""}"
