Layer,Page,URL,Target keyword,Status,Priority,Notes
L1 主类目,Apparel,/custom-branded-apparel-australia,custom branded apparel australia,已上,P1,AS 上线后本类权重大增
L1 主类目,Bags,/custom-bags-australia,custom bags australia,已上,P1,
L1 主类目,Barware & Accessories,/branded-barware-australia,branded barware australia,已上,P2,
L1 主类目,Drinkware,/custom-drinkware-australia,custom drinkware australia,已上,P1,
L1 主类目,Flags & Displays,/trade-show-displays-australia,trade show displays australia,已上,P2,
L1 主类目,Giveaways & Event,/promotional-giveaways-australia,promotional giveaways australia,已上,P2,
L1 主类目,Headwear,/custom-headwear-australia,custom headwear australia,已上,P1,
L1 主类目,Home & Living,/branded-homewares-australia,branded homewares australia,已上,P3,
L1 主类目,Key Rings,/custom-keyrings-australia,custom keyrings australia,已上,P3,
L1 主类目,Marketing Materials,/printed-marketing-materials-australia,printed marketing materials,已上,P3,
L1 主类目,Office & Desk,/branded-office-supplies-australia,branded office supplies australia,已上,P2,
L1 主类目,Outdoor & Sports,/outdoor-promotional-products-australia,outdoor promotional products,已上,P2,
L1 主类目,Packaging,/custom-packaging-australia,custom packaging australia,已上,P3,
L1 主类目,Pens,/branded-pens-australia,branded pens australia,已上,P1,已有归属词 custom pens australia
L1 主类目,Personal Care,/branded-personal-care-products-australia,branded personal care products,已上,P3,
L1 主类目,Pet,/branded-pet-products-australia,branded pet products australia,已上,P3,
L1 主类目,Technology,/corporate-tech-gifts-australia,corporate tech gifts australia,已上,P2,
L1 主类目,Tools & Auto,/branded-tools-and-car-accessories-australia,branded tools car accessories,已上,P3,
L1 主类目,Toys & Games,/promotional-toys-and-games-australia,promotional toys and games,已上,P3,
L1 主类目,Travel,/branded-travel-accessories-australia,branded travel accessories,已上,P3,
L2 子类目,(每个主类目下 3-5+ 个;首页只展示了部分),如 /custom-hoodies-australia /custom-caps-australia /custom-mugs-australia /custom-lanyards-australia 等,词在 URL 里,已上,P1-P3,⚠ 完整清单需从后台 url_pages 表导出(数据线一条 SQL);已上的不用动,任务是逐个检查 H1/文案/meta 是否达标
L3 颜色集合,Black Promotional Pens,现有,black promotional pens,已上,P1,已有归属
L3 颜色集合,Custom White Tote Bags,现有,custom white tote bags,已上,P1,已有归属
L3 颜色集合,Black Custom Tote Bags,/black-custom-tote-bags(新),black custom tote bags,待做,P1,库存现成
L3 颜色集合,Navy Polo Shirts,待定(新),navy polo shirts with logo,待做,P1,AS 上线后可做
L3 颜色集合,White Coffee Mugs,待定(新),white promotional mugs,待做,P2,
L4 场景页,Corporate Gifts,现有,corporate gifts australia,已上待优化,P1,已有归属;按落地页标准结构补 FAQ+内链
L4 场景页,Trade Show Giveaways,/trade-show-giveaways-australia(新),trade show giveaways australia,待做,P1,高意图
L4 场景页,Welcome Kits / New Starter,新,employee welcome kits australia,待做,P2,接 Merch Pack 规划
L4 场景页,Christmas Corporate Gifts,新,corporate christmas gifts australia,待做,P2,9月前上线赶季节
L4 场景页,EOFY Gifts,新,eofy corporate gifts,待做,P3,明年4月前上
L4 场景页,Conference & Events,新,conference merchandise australia,待做,P2,
L5 行业页,Hospitality,新,hospitality uniforms and merch,待做,P2,AS 围裙/Polo 支撑
L5 行业页,Construction / Tradie,新,branded workwear tradies,待做,P2,查 hi-vis 供给再定
L5 行业页,Real Estate,新,real estate promotional products,待做,P3,
L5 行业页,Healthcare,新,healthcare promotional products,待做,P3,
L5 行业页,Education / School,新,school merchandise australia,待做,P3,
L6 属性页,Eco,/sustainability(现有),eco friendly promotional products australia,已上待优化,P1,按落地页结构补文案/FAQ
L6 属性页,Australian Made,/australian-made-promotional-products-australia(现有),australian made promotional products,已上,P2,
L6 属性页,Low MOQ,新,promotional products low minimum order,待做,P2,标准品有低 MOQ 供给
L6 属性页,Fast Turnaround,新,fast turnaround promotional products,待做,P3,⚠ 先能兑现交期承诺再上(红线)
L7 服装专线,Custom T-Shirts,AS 类目或新,custom t shirts australia / custom printed t shirts,待做,P1,AS 441 款已上线;大词但服装是强供给
L7 服装专线,Custom Hoodies,/custom-hoodies-australia(现有),custom hoodies australia,已上待优化,P1,AS 加持
L7 服装专线,Teamwear 拆分,/custom-teamwear-australia(新),custom teamwear australia,待做,P1,backlog 老项;team uniforms/sports kits
L7 服装专线,Work Polos,新,custom polo shirts with logo,待做,P1,B2B 最高频服装词
