supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note,offer_type,kit_theme,likely_components,related_categories,suggested_collection_slug,action,bundle_note
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8290,Eco Shopping Kit,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,eco_sustainable,bag/packaging carrier,Bags,eco-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8389,Expo Essentials Pack,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,conference_event,bag/packaging carrier; event giveaway item,Bags; Giveaways & Event Accessories,conference-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL2230,Elite Gift Set with Hip Flask,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,general_corporate_gifting,mixed branded products,multiple categories,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8292,Eco Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,eco_sustainable,bag/packaging carrier,Bags,eco-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8293,Exec Gift Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,general_corporate_gifting,bag/packaging carrier,Bags,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8300,Picnic Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8451,Pura Cardboard Gift Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,general_corporate_gifting,gift packaging,Packaging,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6000,Summer Beach Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6004,Gold Coast Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier,Bags,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6011,Bondi Beach Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,outdoor/leisure item,Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
