supplier,supplier_sku,source_name,decoration_option_key,decoration_method,decoration_area,decoration_location,artwork_size_label,max_width_mm,max_height_mm,min_qty,unit_cost,setup_cost,repeat_setup_cost,pricing_basis,price_status,additional_colour_policy,notes
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|box_lid|70x40mm,Pad Print,Box Lid - max 70x40mm,Box Lid,70x40mm,70,40,25,4.70,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|box_lid|70x40mm,Pad Print,Box Lid - max 70x40mm,Box Lid,70x40mm,70,40,50,4.10,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|box_lid|70x40mm,Pad Print,Box Lid - max 70x40mm,Box Lid,70x40mm,70,40,100,2.90,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|box_lid|70x40mm,Pad Print,Box Lid - max 70x40mm,Box Lid,70x40mm,70,40,250,2.70,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|bottle|45x45mm,Pad Print,Bottle - 45x45mm,Bottle,45x45mm,45,45,25,4.70,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|pad_print|silicone_base|20x60mm,Pad Print,Silicone base - 20x60mm,Silicone base,20x60mm,20,60,25,4.70,75.00,,per_colour_position,priced,Additional colour print requirement POA,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|laser_engraving|bottle|35x40mm_or_20x80mm,Laser Engraving,Bottle - 35x40mm or 20x80mm,Bottle,35x40mm or 20x80mm,,,25,4.75,75.00,,per_position,priced,,Example row shape only; ambiguous two-size label stays raw until reviewed.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|laser_engraving|bottle|35x40mm_or_20x80mm,Laser Engraving,Bottle - 35x40mm or 20x80mm,Bottle,35x40mm or 20x80mm,,,50,3.50,75.00,,per_position,priced,,Example row shape only; ambiguous two-size label stays raw until reviewed.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|uvdtf|bottle|100x120mm,UVDTF Full Colour Print,Bottle - 100x120mm,Bottle,100x120mm,100,120,1,16.10,55.00,,per_unit,priced,,Example row shape only; replace SKU with real product code.
Gear For Life,SUPPLIER_SKU_TO_MATCH,example in-house branding table,SUPPLIER_SKU_TO_MATCH|uvdtf|bottle|200x150mm,UVDTF Full Colour Print,Bottle - 200x150mm,Bottle,200x150mm,200,150,1,20.00,55.00,,per_unit,priced,,Example row shape only; replace SKU with real product code.
