supplier_sku,product_name,decoration_method,decoration_area,artwork_size_label,tier_1_plus,tier_10_plus,tier_25_49_or_25_plus,tier_50_99_or_50_plus,tier_100_249_or_100_plus,tier_250_plus,tier_500_plus,setup_cost,setup_frequency,price_status_note,packing_fee_note,cost_scope,gst_note,source_note
IGOISB,On-Ice 21L Sound Box,UVDTF Full Colour,Cooler - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,Decoration area says Size & Application on request; user confirmed actual UVDTF pricing.
IGOISB,On-Ice 21L Sound Box,UVDTF Full Colour,Cooler - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,Decoration area says Size & Application on request; user confirmed actual UVDTF pricing.
IGSCFAK,SwiftCare First Aid Kit,Digital Printing,Case,,,,5.30,5.30,5.30,5.30,,,,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
IGSCFAK,SwiftCare First Aid Kit,Pad Print (1 colour),Box only - max 70x40mm,70x40mm,,,4.70,4.10,2.90,2.70,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
IGSCFAK,SwiftCare First Aid Kit,Laser Engraving,Case - 80x40mm,80x40mm,,,6.15,5.00,4.40,3.85,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POPIB,Polar Ice 7.2L Bucket,UVDTF Full Colour,Bucket - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POPIB,Polar Ice 7.2L Bucket,UVDTF Full Colour,Bucket - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
