supplier,sku,product_name,raw_category_path,target_category,target_subcategory,mapping_status,confidence,review_reason,matched_rule_ids,chosen_rule_id,suggested_tags,suggested_material,source_duplicate_rows,product_materials,product_description,manual_override_note
NIConcept,TM18135,Cypress Fleece Zip Hoody - Mens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-115,APP-085,,,1,"52% Cotton 48% Polyester fleece, 240 g/m2 (7.1 oz/yd2). CONTRAST: 58% Cotton 38% Polyester 4% Elastane 1x1 rib knit sleeve cuffs and body hem. LINING: 60% Cotton/ 40% Polyester jersey knit media pocket.","The Cypress full zip hoody offers a relaxed look and unique branding opportunities, including an area to put your logo inside the back yoke and tear-away main label, allowing you to create a completely custom piece. Made with a comfy cotton-poly blend, the Cypress has rib knit cuffs with thumb exits, a rib knit hem, interior phone pocket and headphone cord port.",
NIConcept,TM18209,Dayton Fleece Hoody - Mens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-115,APP-085,,,1,"52% Cotton 48% Polyester fleece, 240 g/m2 (7.1 oz/yd2). CONTRAST: 58% Cotton 38% Polyester 4% Elastane 1x1 rib knit sleeve cuffs and body hem. LINING: 60% Cotton/ 40% Polyester jersey knit media pocket.","The Dayton fleece hoody offers a relaxed look and unique branding opportunities, including an area to put your logo inside the back yoke and tear-away main label, allowing you to create a completely custom piece. Made from a comfy cotton-poly blend, the Dayton has a trendy crossover-front neckline, rib knit cuffs with thumb exits, an interior phone pocket and headphone cord port.",
NIConcept,TM18210,Odell Knit Zip Hoody - Mens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085,APP-085,,,1,"100% Polyester sweater doubleknit with mesh backing and wicking finish, 260 g/m² (7.7 oz/yd²). LINING: 100% Polyester mesh Jersey knit pocket bags.","The Odell knit full zip hoody for men combines casual comfort with a distinctive, trendy look. It features moisture-wicking, breathable, polyester fabric and and has an interior media pocket that keeps your devices handy. The men's Odell hoody also features thumb exits in its sleeves and has an articulated hood to provide maximum style and mobility. Breathable and moisture-wicking for all-day comf",
NIConcept,TM18222,Men's Lavar Eco Knit Hoody,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085,APP-085,,,1,"68% Polyester 32% Recycled polyester jersey knit with peached finish, 200 g/m² (5.9 oz/yd²).","Meet the men’s Lavar Eco Knit Hoody, a buttery soft pullover hoody with classic, casual styling you can wear to work, the grocery store, or anywhere in between, making it the ultimate athleisure piece. It’s made from a super comfy, recycled poly blend jersey knit fabric with a peached finish, plus a recycled pinch label and eco knit tape, making it a cozy lightweight layer you can feel good about ",
NIConcept,TM18731,Garner Knit Full Zip Hoody - Mens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-120,APP-085,,,1,65% Polyester 35% Cotton slub yarn jersey knit. 180 g/m2 (5.3 oz/yd2) Contrast:62% Polyester 35% Cotton 5% Spandex slub yarn 1x1 rib knit sleeve cuffs and body hem.,"The Garner knit full zip hoody is the perfect hoody for layering or as a light knit jacket. Contrasting zipper, front pouch and sleeve cuff with thumb exit make this hoody a versatile and functional garment. The Garner is great for casual corporate wear, team wear, uniform and resort.",
NIConcept,TM98135,Cypress Fleece Zip Hoody - Womens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-115,APP-085,,,1,"52% Cotton 48% Polyester fleece, 240 g/m2 (7.1 oz/yd2). CONTRAST: 58% Cotton 38% Polyester 4% Elastane 1x1 rib knit sleeve cuffs and body hem. LINING: 60% Cotton/ 40% Polyester jersey knit media pocket.","The Cypress full zip hoody offers a relaxed look and unique branding opportunities, including an area to put your logo inside the back yoke and tear-away main label, allowing you to create a completely custom piece. Made with a comfy cotton-poly blend, the Cypress has rib knit cuffs with thumb exits, a rib knit hem, interior phone pocket and headphone cord port.",
NIConcept,TM98209,Dayton Fleece Hoody - Womens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-115,APP-085,,,1,"52% Cotton 48% Polyester fleece, 240 g/m2 (7.1 oz/yd2). CONTRAST: 58% Cotton 38% Polyester 4% Elastane 1x1 rib knit sleeve cuffs and body hem. LINING: 60% Cotton/ 40% Polyester jersey knit media pocket.","The Dayton fleece hoody offers a relaxed look and unique branding opportunities, including an area to put your logo inside the back yoke and tear-away main label, allowing you to create a completely custom piece. Made from a comfy cotton-poly blend, the Dayton has a trendy crossover-front neckline, rib knit cuffs with thumb exits, an interior phone pocket and headphone cord port.",
NIConcept,TM98210,Odell Knit Zip Hoody - Womens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085,APP-085,,,1,"100% Polyester sweater doubleknit with mesh backing and wicking finish, 260 g/m² (7.7 oz/yd²). LINING: 100% Polyester mesh Jersey knit pocket bags.","The Odell knit zip hoody features an on-trend tunic length design and an articulated hood for distinctive, casual comfort. This knit hoody includes shaped seams and a tapered waist for a flattering fit. The Odell knit zip hoody includes moisture wicking breathable fabric and thumb exits for maximum comfort and mobility, and an interior media pocket to keep devices handy.",
NIConcept,TM98222,Women's Lavar Eco Knit Hoody,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085,APP-085,,,1,"68% Polyester 32% Recycled polyester jersey knit with peached finish, 200 g/m² (5.9 oz/yd²).","Meet the women’s Lavar Eco Knit Hoody, a buttery soft pullover hoody with classic, casual styling you can wear to work, the grocery store, or anywhere in between, making it the ultimate athleisure piece. It’s made from a super comfy, recycled poly blend jersey knit fabric with a peached finish, plus a recycled pinch label and eco knit tape, making it a cozy lightweight layer you can feel good abou",
NIConcept,TM98731,Garner Knit Full Zip Hoody - Womens,Apparel,Apparel,Hoodies,auto_mapped_by_keyword,0.94,,APP-085 | APP-120,APP-085,,,1,65% Polyester 35% Cotton slub yarn jersey knit. 180 g/m2 (5.3 oz/yd2) Contrast: 62% Polyester 35% Cotton 5% Spandex slub yarn 1x1 rib knit sleeve cuffs and body hem.,"The Garner knit full zip hoody is the perfect hoody for layering or as a light knit jacket. This knit hoody is lightweight and comfortable, made from 65% polyester and 35% cotton and features a front pouch, sleeve cuff with thumb exit and interior media pocket. The Garner is a great piece for corporate, team wear, uniform and resort.",
