supplier,sku,product_name,offer_type,kit_theme,primary_collection_slug,primary_collection_name,also_include_in_hub,hub_slug,likely_components,related_categories,raw_category_path,source_field,assignment_note
Logoline,LL8290,Eco Shopping Kit,gift_set,eco_sustainable,eco-merch-kits-australia,Eco Merch Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Bags / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8389,Expo Essentials Pack,gift_set,conference_event,conference-event-kits-australia,Conference & Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; event giveaway item,Bags; Giveaways & Event Accessories,Bags / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL2230,Elite Gift Set with Hip Flask,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Drinkware / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8292,Eco Pack,gift_set,eco_sustainable,eco-merch-kits-australia,Eco Merch Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Drinkware / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8293,Exec Gift Pack,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Drinkware / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8300,Picnic Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Drinkware / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8451,Pura Cardboard Gift Set,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,gift packaging,Packaging,Drinkware / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6000,Summer Beach Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6004,Gold Coast Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6011,Bondi Beach Kit,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,outdoor/leisure item,Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6012,Coogee Beach Kit,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,outdoor/leisure item,Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8288,Adventure Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8291,Flinders Reusable Kit,gift_set,eco_sustainable,eco-merch-kits-australia,Eco Merch Kits,true,custom-merch-kits-australia,mixed branded products,multiple categories,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8295,Active Living Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8296,Bondi Beach Pack,gift_set,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8298,Tradie Pack,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8347,Lunch & Latte Kit,gift_set,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,drinkware,Drinkware,Lifestyle / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6002,Back To School Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier,Office & Desk; Bags,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6014,Encore Office Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier,Office & Desk; Bags,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6020,Bravo Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier,Office & Desk; Bags,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6027,Wellbeing Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier; personal care item,Office & Desk; Bags; Personal Care,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8241,Harmony Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item,Office & Desk,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8247,Anthem Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item,Office & Desk,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8271,Sephora Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item,Office & Desk,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8289,Kakadu Eco Kit,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item,Office & Desk,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8299,Office Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier,Office & Desk; Bags,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8433,Sephora Cardboard Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; gift packaging,Office & Desk; Packaging,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8441,Harmony Cardboard Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; gift packaging,Office & Desk; Packaging,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8453,Anthem Cardboard Gift Set,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; gift packaging,Office & Desk; Packaging,Office / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6033,The Little Learners Pack,gift_set,office_school,office-and-school-kits-australia,Office & School Kits,true,custom-merch-kits-australia,notebook/office item; bag/packaging carrier,Office & Desk; Bags,Office / Gift Sets / Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8231,The Classic Pairing,prebuilt_kit,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8233,The Warm Welcome,prebuilt_kit,employee_onboarding,employee-onboarding-kits-australia,Employee Onboarding Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
